query,cardinality
"SELECT COUNT(*)
FROM badges, users
WHERE badges.userid = users.id
  AND badges.date <> '2013-07-19 06:53:02'
  AND users.age > 37;",5120
"SELECT COUNT(*)
FROM posthistory, posts, postlinks
WHERE posthistory.postid = posts.id
  AND postlinks.relatedpostid = posts.id
  AND posthistory.postid = posts.id AND postlinks.relatedpostid = posts.id;",71242
"SELECT COUNT(*)
FROM posts,
  votes,
  postlinks,
  comments,
  users
WHERE votes.postid = posts.id
  AND postlinks.relatedpostid = posts.id
  AND comments.postid = posts.id
  AND posts.owneruserid = users.id
  AND votes.userid = users.id
  AND comments.userid = users.id
  AND posts.favoritecount > 10
  AND users.upvotes > 5
  AND votes.votetypeid < 10
  AND users.accountid > 916933;",42
"SELECT COUNT(*)
FROM votes,
  users,
  comments,
  badges
WHERE votes.userid = users.id
  AND comments.userid = users.id
  AND badges.userid = users.id
  AND users.lastaccessdate > '2012-03-05 02:48:57'
  AND badges.date < '2012-11-26 22:00:24'
  AND users.reputation > 383
  AND users.upvotes <> 3;",819394785
"SELECT COUNT(*)
FROM badges, users, comments
WHERE badges.userid = users.id
  AND comments.userid = users.id
  AND users.reputation > 162
  AND comments.score <> 3
  AND users.creationdate <> '2013-03-12 18:20:19';",15193781
"SELECT COUNT(*)
FROM posthistory, posts
WHERE posthistory.postid = posts.id
  AND posts.answercount > 0
  AND posts.viewcount > 833
  AND posts.lasteditdate > '2013-08-26 12:55:05'
  AND posts.commentcount = 5;",246
"SELECT COUNT(*)
FROM badges,
  users,
  votes,
  posthistory
WHERE badges.userid = users.id
  AND votes.userid = users.id
  AND posthistory.userid = users.id
  AND users.reputation < 58
  AND users.lastaccessdate <> '2014-06-22 11:17:27'
  AND users.downvotes = 0
  AND users.accountid <> 75345;",374577
"SELECT COUNT(*)
FROM posts,
  comments,
  votes,
  posthistory
WHERE comments.postid = posts.id
  AND votes.postid = posts.id
  AND posthistory.postid = posts.id
  AND comments.postid = posts.id AND votes.postid = posts.id AND posthistory.postid = posts.id;",4255848
"SELECT COUNT(*)
FROM postlinks,
  posts,
  users,
  posthistory,
  votes
WHERE postlinks.relatedpostid = posts.id
  AND posts.owneruserid = users.id
  AND posthistory.postid = posts.id
  AND votes.postid = posts.id
  AND posthistory.userid = users.id
  AND votes.userid = users.id
  AND postlinks.creationdate > '2013-06-15 08:12:24'
  AND posts.closeddate > '2014-08-20 20:04:16'
  AND users.creationdate <> '2014-05-11 15:29:27';",3
"SELECT COUNT(*)
FROM votes, posts, tags
WHERE votes.postid = posts.id
  AND tags.excerptpostid = posts.id
  AND votes.postid = posts.id AND tags.excerptpostid = posts.id;",618
"SELECT COUNT(*)
FROM votes,
  users,
  badges,
  posthistory
WHERE votes.userid = users.id
  AND badges.userid = users.id
  AND posthistory.userid = users.id
  AND votes.userid = users.id AND badges.userid = users.id AND posthistory.userid = users.id;",3136348028
"SELECT COUNT(*)
FROM comments, users, posthistory
WHERE comments.userid = users.id
  AND posthistory.userid = users.id
  AND comments.userid = users.id AND posthistory.userid = users.id;",263105194
"SELECT COUNT(*)
FROM badges,
  users,
  votes,
  posts
WHERE badges.userid = users.id
  AND votes.userid = users.id
  AND posts.owneruserid = users.id
  AND votes.postid = posts.id
  AND posts.score = 6
  AND users.lastaccessdate <> '2014-01-29 08:14:30';",3491
"SELECT COUNT(*)
FROM badges,
  users,
  comments,
  votes
WHERE badges.userid = users.id
  AND comments.userid = users.id
  AND votes.userid = users.id
  AND users.age > 43
  AND users.downvotes > 2;",5952856
"SELECT COUNT(*)
FROM users,
  votes,
  comments,
  badges
WHERE votes.userid = users.id
  AND comments.userid = users.id
  AND badges.userid = users.id
  AND votes.votetypeid <> 8
  AND users.age > 47;",3898067
"SELECT COUNT(*)
FROM posthistory,
  users,
  posts,
  postlinks
WHERE posthistory.userid = users.id
  AND posthistory.postid = posts.id
  AND posts.owneruserid = users.id
  AND postlinks.relatedpostid = posts.id
  AND posthistory.userid = users.id AND posthistory.postid = posts.id AND posts.owneruserid = users.id AND postlinks.relatedpostid = posts.id;",41126
"SELECT COUNT(*)
FROM users, posthistory, posts
WHERE posthistory.userid = users.id
  AND posts.owneruserid = users.id
  AND posthistory.postid = posts.id
  AND posthistory.posthistorytypeid <> 37
  AND users.creationdate > '2013-09-01 12:09:23'
  AND posts.commentcount > 0
  AND posts.favoritecount < 23;",5579
"SELECT COUNT(*)
FROM postlinks, posts, posthistory
WHERE postlinks.relatedpostid = posts.id
  AND posthistory.postid = posts.id
  AND posts.favoritecount > 1
  AND posts.commentcount = 2
  AND posts.answercount < 4
  AND posthistory.creationdate < '2011-03-28 21:43:57';",604
"SELECT COUNT(*)
FROM badges, users, posthistory
WHERE badges.userid = users.id
  AND posthistory.userid = users.id
  AND posthistory.posthistorytypeid > 3
  AND posthistory.creationdate < '2013-09-17 06:00:42'
  AND users.creationdate > '2013-01-05 00:48:15'
  AND users.age = 35;",126
"SELECT COUNT(*)
FROM posthistory, posts
WHERE posthistory.postid = posts.id
  AND posts.commentcount <> 15
  AND posts.lasactivitydate <> '2010-07-20 08:52:27'
  AND posts.acceptedanswerid <> 4835;",77938
"SELECT COUNT(*)
FROM posts, votes, postlinks
WHERE votes.postid = posts.id
  AND postlinks.relatedpostid = posts.id
  AND votes.votetypeid > 6
  AND posts.closeddate < '2012-09-28 20:26:10';",33
"SELECT COUNT(*)
FROM posthistory, posts
WHERE posthistory.postid = posts.id
  AND posthistory.postid = posts.id;",303187
"SELECT COUNT(*)
FROM postlinks, posts, posthistory
WHERE postlinks.relatedpostid = posts.id
  AND posthistory.postid = posts.id
  AND postlinks.creationdate < '2014-05-02 14:17:07'
  AND posts.score <> 6;",55833
"SELECT COUNT(*)
FROM posthistory, posts, postlinks
WHERE posthistory.postid = posts.id
  AND postlinks.relatedpostid = posts.id
  AND posthistory.posthistorytypeid <> 5
  AND posthistory.creationdate > '2013-03-14 15:30:50';",15024
"SELECT COUNT(*)
FROM comments, users, votes
WHERE comments.userid = users.id
  AND votes.userid = users.id
  AND comments.userid = users.id AND votes.userid = users.id;",11031325
"SELECT COUNT(*)
FROM posthistory, posts
WHERE posthistory.postid = posts.id
  AND posts.lasteditdate < '2013-12-04 17:51:55'
  AND posthistory.creationdate < '2013-03-11 16:17:44';",98837
"SELECT COUNT(*)
FROM users,
  comments,
  posts,
  badges
WHERE comments.userid = users.id
  AND posts.owneruserid = users.id
  AND badges.userid = users.id
  AND comments.postid = posts.id
  AND comments.userid = users.id AND posts.owneruserid = users.id AND badges.userid = users.id AND comments.postid = posts.id;",2647775
"SELECT COUNT(*)
FROM comments,
  users,
  posts,
  posthistory
WHERE comments.userid = users.id
  AND comments.postid = posts.id
  AND posts.owneruserid = users.id
  AND posthistory.userid = users.id
  AND posthistory.postid = posts.id
  AND users.views <> 25
  AND posthistory.posthistorytypeid = 34;",440
"SELECT COUNT(*)
FROM posthistory, users, comments
WHERE posthistory.userid = users.id
  AND comments.userid = users.id
  AND posthistory.userid = users.id AND comments.userid = users.id;",263105194
"SELECT COUNT(*)
FROM votes, posts
WHERE votes.postid = posts.id
  AND posts.creationdate > '2012-09-10 13:12:06'
  AND posts.lasactivitydate > '2014-08-05 06:25:34'
  AND posts.commentcount > 12;",259
"SELECT COUNT(*)
FROM votes, users
WHERE votes.userid = users.id
  AND users.age = 41
  AND users.accountid <> 48142
  AND users.upvotes > 21;",46
"SELECT COUNT(*)
FROM badges,
  users,
  comments,
  posthistory
WHERE badges.userid = users.id
  AND comments.userid = users.id
  AND posthistory.userid = users.id
  AND comments.score = 3
  AND badges.date > '2012-11-26 09:34:50';",1598790621
"SELECT COUNT(*)
FROM comments, posts, users
WHERE comments.postid = posts.id
  AND comments.userid = users.id
  AND posts.owneruserid = users.id
  AND comments.score > 3
  AND posts.viewcount <> 13
  AND posts.closeddate > '2013-11-14 15:30:19';",1
"SELECT COUNT(*)
FROM users, posthistory, votes
WHERE posthistory.userid = users.id
  AND votes.userid = users.id
  AND votes.creationdate < '2012-12-07'
  AND users.views <> 57
  AND users.downvotes > 21;",5264214
"SELECT COUNT(*)
FROM posts, posthistory, tags
WHERE posthistory.postid = posts.id
  AND tags.excerptpostid = posts.id
  AND posthistory.postid = posts.id AND tags.excerptpostid = posts.id;",1981
"SELECT COUNT(*)
FROM users, posts
WHERE posts.owneruserid = users.id
  AND posts.owneruserid = users.id;",90584
"SELECT COUNT(*)
FROM badges, users
WHERE badges.userid = users.id
  AND users.views > 58
  AND users.upvotes <> 16;",18012
"SELECT COUNT(*)
FROM badges,
  users,
  comments,
  posts,
  postlinks
WHERE badges.userid = users.id
  AND comments.userid = users.id
  AND posts.owneruserid = users.id
  AND comments.postid = posts.id
  AND postlinks.relatedpostid = posts.id
  AND users.lastaccessdate <> '2014-07-10 17:27:06'
  AND posts.commentcount > 11;",20191
"SELECT COUNT(*)
FROM postlinks,
  posts,
  users,
  posthistory
WHERE postlinks.relatedpostid = posts.id
  AND posts.owneruserid = users.id
  AND posthistory.postid = posts.id
  AND posthistory.userid = users.id
  AND posts.viewcount <> 156
  AND posthistory.posthistorytypeid <> 10
  AND users.downvotes < 1
  AND posts.score = 14;",277
"SELECT COUNT(*)
FROM badges, users
WHERE badges.userid = users.id
  AND users.lastaccessdate > '2013-12-08 12:43:55'
  AND users.reputation <> 131
  AND users.downvotes > 4
  AND users.creationdate < '2014-07-01 21:55:37';",9281
"SELECT COUNT(*)
FROM posthistory, users
WHERE posthistory.userid = users.id
  AND users.accountid < 4636017
  AND users.age > 32;",35754
"SELECT COUNT(*)
FROM postlinks, posts
WHERE postlinks.relatedpostid = posts.id
  AND posts.score = 49
  AND posts.lasteditdate < '2013-08-07 19:13:50';",3
"SELECT COUNT(*)
FROM votes,
  users,
  comments,
  posts
WHERE votes.userid = users.id
  AND votes.postid = posts.id
  AND comments.userid = users.id
  AND posts.owneruserid = users.id
  AND comments.postid = posts.id
  AND votes.userid = users.id AND votes.postid = posts.id AND comments.userid = users.id AND posts.owneruserid = users.id AND comments.postid = posts.id;",2875
"SELECT COUNT(*)
FROM badges,
  users,
  votes,
  posts,
  comments
WHERE badges.userid = users.id
  AND votes.userid = users.id
  AND posts.owneruserid = users.id
  AND comments.userid = users.id
  AND votes.postid = posts.id
  AND comments.postid = posts.id
  AND badges.userid = users.id AND votes.userid = users.id AND posts.owneruserid = users.id AND comments.userid = users.id AND votes.postid = posts.id AND comments.postid = posts.id;",61024
"SELECT COUNT(*)
FROM comments, users, posts
WHERE comments.userid = users.id
  AND comments.postid = posts.id
  AND posts.owneruserid = users.id
  AND posts.communityowneddate <> '2012-11-09 12:38:15'
  AND posts.acceptedanswerid < 37932;",82
"SELECT COUNT(*)
FROM postlinks, posts, votes
WHERE postlinks.relatedpostid = posts.id
  AND votes.postid = posts.id
  AND posts.favoritecount <> 12
  AND posts.lasteditdate < '2012-07-24 06:50:31'
  AND postlinks.creationdate <> '2012-08-17 12:01:22'
  AND posts.viewcount > 7;",111950
"SELECT COUNT(*)
FROM posthistory, posts
WHERE posthistory.postid = posts.id
  AND posts.closeddate = '2013-10-04 13:55:04'
  AND posts.commentcount <> 10;",6
"SELECT COUNT(*)
FROM postlinks,
  posts,
  posthistory,
  votes
WHERE postlinks.relatedpostid = posts.id
  AND posthistory.postid = posts.id
  AND votes.postid = posts.id
  AND posts.acceptedanswerid <> 15898
  AND votes.bountyamount > 200
  AND posthistory.creationdate <> '2010-07-19 20:12:24';",6
"SELECT COUNT(*)
FROM tags, posts, votes
WHERE tags.excerptpostid = posts.id
  AND votes.postid = posts.id
  AND tags.excerptpostid = posts.id AND votes.postid = posts.id;",618
"SELECT COUNT(*)
FROM comments,
  users,
  votes,
  posthistory
WHERE comments.userid = users.id
  AND votes.userid = users.id
  AND posthistory.userid = users.id
  AND users.upvotes < 19
  AND users.accountid < 1691944;",2205302
"SELECT COUNT(*)
FROM comments, users
WHERE comments.userid = users.id
  AND users.lastaccessdate > '2014-09-08 07:37:13'
  AND comments.creationdate <> '2014-08-19 01:15:57'
  AND users.age = 37
  AND users.accountid < 4276778;",125
"SELECT COUNT(*)
FROM badges,
  users,
  posthistory,
  posts
WHERE badges.userid = users.id
  AND posthistory.userid = users.id
  AND posts.owneruserid = users.id
  AND posthistory.postid = posts.id
  AND posts.answercount = 6
  AND posthistory.creationdate > '2012-11-06 15:57:21'
  AND users.upvotes > 2;",1576
"SELECT COUNT(*)
FROM posthistory, posts, postlinks
WHERE posthistory.postid = posts.id
  AND postlinks.relatedpostid = posts.id
  AND posts.viewcount > 106
  AND posts.closeddate > '2013-08-18 23:27:00';",521
"SELECT COUNT(*)
FROM badges, users, posthistory
WHERE badges.userid = users.id
  AND posthistory.userid = users.id
  AND users.views > 5
  AND users.lastaccessdate > '2011-10-06 08:40:50'
  AND badges.date = '2013-04-28 20:39:25';",18
"SELECT COUNT(*)
FROM posthistory,
  posts,
  votes,
  comments
WHERE posthistory.postid = posts.id
  AND votes.postid = posts.id
  AND comments.postid = posts.id
  AND posthistory.postid = posts.id AND votes.postid = posts.id AND comments.postid = posts.id;",4255848
"SELECT COUNT(*)
FROM posts, postlinks, votes
WHERE postlinks.relatedpostid = posts.id
  AND votes.postid = posts.id
  AND votes.bountyamount < 100
  AND postlinks.linktypeid <> 3
  AND posts.creationdate < '2012-01-12 16:46:02';",227
"SELECT COUNT(*)
FROM posts, tags
WHERE tags.excerptpostid = posts.id
  AND tags.count <> 2
  AND posts.creationdate < '2014-06-25 14:27:40'
  AND posts.posttypeid <> 1;",565
"SELECT COUNT(*)
FROM postlinks, posts, votes
WHERE postlinks.relatedpostid = posts.id
  AND votes.postid = posts.id
  AND postlinks.relatedpostid = posts.id AND votes.postid = posts.id;",316252
"SELECT COUNT(*)
FROM votes,
  users,
  badges,
  posts,
  postlinks
WHERE votes.userid = users.id
  AND votes.postid = posts.id
  AND badges.userid = users.id
  AND posts.owneruserid = users.id
  AND postlinks.relatedpostid = posts.id
  AND users.reputation > 108
  AND users.creationdate <> '2013-08-02 16:08:07';",43899
"SELECT COUNT(*)
FROM votes, users
WHERE votes.userid = users.id
  AND votes.votetypeid < 6
  AND votes.creationdate < '2014-01-07';",24405
"SELECT COUNT(*)
FROM comments,
  users,
  badges,
  posts
WHERE comments.userid = users.id
  AND comments.postid = posts.id
  AND badges.userid = users.id
  AND posts.owneruserid = users.id
  AND posts.creationdate <> '2011-08-15 21:32:21'
  AND posts.acceptedanswerid <> 55674;",169670
"SELECT COUNT(*)
FROM votes, users, comments
WHERE votes.userid = users.id
  AND comments.userid = users.id
  AND votes.votetypeid < 9
  AND users.upvotes <> 53
  AND users.views = 91;",5994
"SELECT COUNT(*)
FROM votes, users, badges
WHERE votes.userid = users.id
  AND badges.userid = users.id
  AND users.age < 35
  AND users.creationdate < '2011-09-05 17:20:47';",365866
"SELECT COUNT(*)
FROM posts,
  posthistory,
  comments,
  postlinks
WHERE posthistory.postid = posts.id
  AND comments.postid = posts.id
  AND postlinks.relatedpostid = posts.id
  AND posthistory.postid = posts.id AND comments.postid = posts.id AND postlinks.relatedpostid = posts.id;",232285
"SELECT COUNT(*)
FROM postlinks, posts
WHERE postlinks.relatedpostid = posts.id
  AND posts.score < -1
  AND postlinks.linktypeid < 3
  AND posts.commentcount < 13;",13
"SELECT COUNT(*)
FROM users, badges, posts
WHERE badges.userid = users.id
  AND posts.owneruserid = users.id
  AND posts.commentcount <> 11
  AND posts.closeddate > '2014-03-27 15:09:46'
  AND users.creationdate <> '2012-03-21 17:07:08';",1846
"SELECT COUNT(*)
FROM postlinks, posts
WHERE postlinks.relatedpostid = posts.id
  AND posts.viewcount <> 437
  AND posts.answercount = 5;",606
"SELECT COUNT(*)
FROM comments, posts
WHERE comments.postid = posts.id
  AND posts.acceptedanswerid < 82252
  AND posts.posttypeid <> 5;",24024
"SELECT COUNT(*)
FROM badges, users
WHERE badges.userid = users.id
  AND users.lastaccessdate <> '2014-04-07 10:07:52'
  AND users.age < 24;",2351
"SELECT COUNT(*)
FROM comments,
  users,
  posts,
  postlinks
WHERE comments.userid = users.id
  AND comments.postid = posts.id
  AND posts.owneruserid = users.id
  AND postlinks.relatedpostid = posts.id
  AND posts.acceptedanswerid > 63016
  AND users.downvotes > 55
  AND users.age < 25;",11
"SELECT COUNT(*)
FROM votes, users, badges
WHERE votes.userid = users.id
  AND badges.userid = users.id
  AND votes.userid = users.id AND badges.userid = users.id;",1056687
"SELECT COUNT(*)
FROM comments, users
WHERE comments.userid = users.id
  AND users.views > 8
  AND comments.score < 1
  AND users.accountid < 2531780
  AND comments.creationdate > '2014-04-13 12:02:48';",11015
"SELECT COUNT(*)
FROM votes, users
WHERE votes.userid = users.id
  AND users.lastaccessdate <> '2013-02-18 14:57:07'
  AND users.upvotes = 14
  AND users.views <> 16;",303
"SELECT COUNT(*)
FROM badges,
  users,
  posts,
  posthistory,
  votes
WHERE badges.userid = users.id
  AND posts.owneruserid = users.id
  AND posthistory.userid = users.id
  AND votes.userid = users.id
  AND posthistory.postid = posts.id
  AND votes.postid = posts.id
  AND posts.lasteditdate <> '2013-07-18 16:39:49'
  AND posts.creationdate < '2014-08-30 19:27:35';",252126
"SELECT COUNT(*)
FROM comments,
  posts,
  votes,
  users
WHERE comments.postid = posts.id
  AND comments.userid = users.id
  AND votes.postid = posts.id
  AND posts.owneruserid = users.id
  AND votes.userid = users.id
  AND posts.lasactivitydate <> '2013-11-12 14:48:08'
  AND votes.votetypeid <> 2
  AND votes.creationdate = '2014-06-19';",7
"SELECT COUNT(*)
FROM postlinks,
  posts,
  posthistory,
  users
WHERE postlinks.relatedpostid = posts.id
  AND posthistory.postid = posts.id
  AND posts.owneruserid = users.id
  AND posthistory.userid = users.id
  AND posthistory.posthistorytypeid > 4
  AND posts.favoritecount > 9
  AND users.accountid <> 3509713
  AND users.views < 6;",2
"SELECT COUNT(*)
FROM votes, posts
WHERE votes.postid = posts.id
  AND posts.lasactivitydate > '2013-11-22 08:44:43'
  AND posts.score > -1
  AND posts.commentcount = 14;",326
"SELECT COUNT(*)
FROM posthistory,
  posts,
  votes,
  postlinks,
  comments
WHERE posthistory.postid = posts.id
  AND votes.postid = posts.id
  AND postlinks.relatedpostid = posts.id
  AND comments.postid = posts.id
  AND posthistory.postid = posts.id AND votes.postid = posts.id AND postlinks.relatedpostid = posts.id AND comments.postid = posts.id;",10274193
"SELECT COUNT(*)
FROM badges, users
WHERE badges.userid = users.id
  AND users.creationdate > '2012-02-02 16:41:27'
  AND users.reputation > 33
  AND badges.date < '2013-08-11 05:33:22'
  AND users.lastaccessdate <> '2014-03-18 13:07:48';",13703
"SELECT COUNT(*)
FROM badges, users
WHERE badges.userid = users.id
  AND users.age = 33
  AND users.reputation > 31;",1126
"SELECT COUNT(*)
FROM comments,
  users,
  badges,
  posts
WHERE comments.userid = users.id
  AND comments.postid = posts.id
  AND badges.userid = users.id
  AND posts.owneruserid = users.id
  AND posts.score < -2
  AND users.upvotes <> 14;",1443
"SELECT COUNT(*)
FROM tags, posts
WHERE tags.excerptpostid = posts.id
  AND tags.wikipostid < 79671
  AND posts.commentcount < 14;",502
"SELECT COUNT(*)
FROM votes,
  users,
  posts,
  postlinks
WHERE votes.userid = users.id
  AND votes.postid = posts.id
  AND posts.owneruserid = users.id
  AND postlinks.relatedpostid = posts.id
  AND votes.userid = users.id AND votes.postid = posts.id AND posts.owneruserid = users.id AND postlinks.relatedpostid = posts.id;",1347
